Item Description,Posting Date,Product_Amount
DOC - COMMERCIAL BROILERS,2021-09-13 00:00:00,5508773
DOC - COMMERCIAL BROILERS,2021-11-23 00:00:00,6347710
DOC - COMMERCIAL LAYERS,2022-02-17 00:00:00,2823055.0499999998
DOC - KEN BRO,2021-09-16 00:00:00,1694380.01
DOC - COMMERCIAL BROILERS,2021-12-16 00:00:00,8974124.0099999998
DOC - COMMERCIAL LAYERS,2022-01-25 00:00:00,1824230
DOC - COMMERCIAL COCKS,2021-10-14 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL BROILERS,2022-01-08 00:00:00,10008494.119999999
DOC - COMMERCIAL BROILERS,2022-01-31 00:00:00,7348083.0099999998
DOC - COMMERCIAL BROILERS,2022-02-23 00:00:00,3913308.23
DOC - COMMERCIAL BROILERS,2021-09-07 00:00:00,5014750
DOC - KEN BRO,2021-09-22 00:00:00,2308415.6899999999
DOC - COMMERCIAL BROILERS,2021-12-22 00:00:00,6914028
DOC - COMMERCIAL LAYERS,2022-01-19 00:00:00,1158419.5
DOC - COMMERCIAL BROILERS,2021-10-23 00:00:00,7171662.0599999987
DOC - KEN BRO,2021-12-25 00:00:00,195700
DOC - KEN BRO,2021-10-26 00:00:00,710400
DOC - COMMERCIAL BROILERS,2021-11-06 00:00:00,6366096.0300000003
DOC - COMMERCIAL LAYERS,2021-12-04 00:00:00,3158130.0499999998
DOC - COMMERCIAL LAYERS,2021-12-16 00:00:00,2585285.1100000003
DOC - COMMERCIAL LAYERS,2021-09-01 00:00:00,2957647.8900000001
DOC - COMMERCIAL LAYERS,2022-02-02 00:00:00,2444470.1099999994
DOC - KEN BRO,2022-02-09 00:00:00,468000.02000000002
DOC - COMMERCIAL COCKS,2022-02-14 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL LAYERS,2021-10-25 00:00:00,1389960.01
DOC - KEN BRO,2021-12-17 00:00:00,660069
DOC - KEN BRO,2021-11-01 00:00:00,279750.02000000002
DOC - COMMERCIAL LAYERS,2021-12-10 00:00:00,2083029.8999999999
DOC - KEN BRO,2021-11-15 00:00:00,248250.06
DOC - COMMERCIAL LAYERS,2021-11-26 00:00:00,2425902.25
DOC - KEN BRO,2021-10-23 00:00:00,1535985.0700000001
DOC - COMMERCIAL COCKS,2022-01-31 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL LAYERS,2022-02-28 00:00:00,2585615.0600000001
DOC - KEN BRO,2021-09-02 00:00:00,1349350.03
DOC - COMMERCIAL BROILERS,2021-09-04 00:00:00,7290353.0299999993
DOC - COMMERCIAL LAYERS,2022-02-08 00:00:00,3271679.3699999996
DOC - KEN BRO,2022-02-15 00:00:00,1332114.54
DOC - COMMERCIAL BROILERS,2022-02-17 00:00:00,8531864.0199999996
DOC - COMMERCIAL LAYERS,2021-09-18 00:00:00,3934735.0299999998
DOC - COMMERCIAL BROILERS,2021-09-21 00:00:00,7553903.0099999998
DOC - COMMERCIAL BROILERS,2021-09-27 00:00:00,5007874.0499999998
DOC - COMMERCIAL BROILERS,2021-11-09 00:00:00,8529900.0099999998
DOC - COMMERCIAL BROILERS,2021-11-15 00:00:00,9634830
DOC - KEN BRO,2021-12-11 00:00:00,1221085.02
DOC - KEN BRO,2022-01-29 00:00:00,1510075.02
DOC - COMMERCIAL LAYERS,2021-10-08 00:00:00,1437010.5600000001
DOC - KEN BRO,2022-01-03 00:00:00,165825
DOC - KEN BRO,2021-09-25 00:00:00,1368430.03
DOC - COMMERCIAL BROILERS,2022-01-25 00:00:00,5425692
DOC - COMMERCIAL LAYERS,2021-11-20 00:00:00,3189895.8999999999
DOC - COMMERCIAL BROILERS,2021-11-29 00:00:00,5249414.0499999998
DOC - COMMERCIAL LAYERS,2021-10-02 00:00:00,4310395
DOC - COMMERCIAL BROILERS,2021-10-11 00:00:00,6622917
DOC - KEN BRO,2021-10-15 00:00:00,1339364.6899999999
DOC - COMMERCIAL BROILERS,2022-01-05 00:00:00,5044811.04
DOC - COMMERCIAL BROILERS,2022-01-17 00:00:00,7481433.0199999996
DOC - COMMERCIAL COCKS,2021-11-29 00:00:00,0.01
DOC - COMMERCIAL LAYERS,2021-09-24 00:00:00,3461943.8700000001
DOC - KEN BRO,2022-01-17 00:00:00,326925.02000000002
DOC - KEN BRO,2021-10-09 00:00:00,1469170.03
DOC - COMMERCIAL BROILERS,2022-01-11 00:00:00,5733700.0099999998
DOC - KEN BRO,2021-11-27 00:00:00,1069960.3700000001
DOC - COMMERCIAL COCKS,2021-12-02 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL BROILERS,2022-02-26 00:00:00,9480512.5699999984
DOC - KEN BRO,2021-11-04 00:00:00,943225.08000000007
